bibkey,keyword_key,keyword_level
baader-etal:1992,1:logic,1
baader-etal:1992,2:concept_logic,2
baader-etal:1992,3:taxonomic_logics,3
baader-etal:1993,1:linguistics,1
baader-etal:1993,2:grammar,2
baader-etal:1993,3:feature_structures,3
baader-etal:1996,1:logic,1
baader-etal:1996,2:concept_logic,2
baader-etal:1996,3:taxonomic_logics,3
baader-etal:2000,1:logic,1
baader-etal:2000,2:concept_logic,2
baader-etal:2000,3:taxonomic_logics,3
baader-etal:2012,1:computation,1
baader-etal:2012,2:computability,2
baader-etal:2012,3:computational_complexity,3
baader-hollunder:1992,1:logic,1
baader-hollunder:1992,2:concept_logic,2
baader-hollunder:1992,3:taxonomic_logics,3
baader-hollunder:1993,1:logic,1
baader-hollunder:1993,2:concept_logic,2
baader-hollunder:1993,3:taxonomic_logics,3
baader-hollunder:1995,1:logic,1
baader-hollunder:1995,2:concept_logic,2
baader-hollunder:1995,3:taxonomic_logics,3
baader-kuesters:2000,1:logic,1
baader-kuesters:2000,2:concept_logic,2
baader-kuesters:2000,3:taxonomic_logics,3
baader-laux:1995,1:logic,1
baader-laux:1995,2:concept_logic,2
baader-laux:1995,3:taxonomic_logics,3
baader-lutz:2007,1:logic,1
baader-lutz:2007,2:modal_logic,2
baader-nutt:1992,1:information,1
baader-nutt:1992,2:knowledge_representation,2
baader-sattler:1996,1:logic,1
baader-sattler:1996,2:concept_logic,2
baader-sattler:1996,3:taxonomic_logics,3
baader-sattler:2001,1:logic,1
baader-schulz:1992,1:linguistics,1
baader-schulz:1992,2:linguistics_as_a_science,2
baader-schulz:1992,3:unification_in_linguistics,3
baader-schulz:1996,1:logic,1
baader-schulz:1996,2:combining_logics,2
baader-schulz:1998,1:logic,1
baader-schulz:1998,2:proof_theory,2
baader-schulz:1998,3:theorem_proving,3
baader-siekmann:1994,1:computation,1
baader-siekmann:1994,2:computational_logic,2
baaij:2012,1:law,1
baaij:2012,2:legal_reasoning,2
baakrime_a:2013,1:structuralism,1
baakrime_a:2013,2:relations,2
baard:2009,1:political_philosophy,1
